species	reads_accession	reads_type	Same_as_genome
Clupea_harengus	SRR26322996	long	No
Clupea_harengus	SRR26322995	long	No
Clupea_harengus	ERR13363199	short	No
Clupea_harengus	ERR13363232	short	No
Hypomesus_transpacificus	SRR17921806	long	Yes
Hypomesus_transpacificus	SRR17921807	short	Yes
Hypomesus_transpacificus	SRR17799534	long	Yes
Hypomesus_transpacificus	SRR17799535	short	Yes
Oncorhynchus_mykiss	SRR27482199	short	Yes
Oncorhynchus_mykiss	SRR27482200	short	Yes
Electrona_antarctica	ERR11040177	short	Yes
Electrona_antarctica	ERR11029672	long	Yes
Electrona_antarctica	ERR11029671	long	Yes
Salarias_fasciatus	ERR3566168	short	Yes
Salarias_fasciatus	ERR3566167	short	Yes
Salarias_fasciatus	ERR3629070	long	Yes
Salarias_fasciatus	ERR3629069	long	Yes
Salarias_fasciatus	ERR3629068	long	Yes
Oryzias_melastigma	SRR6002358	short	Yes
Oryzias_melastigma	SRR6002359	short	Yes
Oryzias_melastigma	SRR6002363	short	Yes
Xiphophorus_couchianus	SRR2127225	short	Yes
Xiphophorus_couchianus	SRR2131027	short	Yes
Xiphophorus_couchianus	SRR2131118	short	Yes
Xiphophorus_couchianus	SRR7464412	long	Yes
Xiphophorus_couchianus	SRR7464416	long	Yes
Channa_striata	SRR29199351	short	Yes
Channa_striata	SRR29199350	short	Yes
Channa_striata	SRR29199348	long	Yes
Siniperca_chuatsi	SRR15111159	short	Yes
Takifugu_flavidus	SRR7881551	short	Yes
Takifugu_flavidus	SRR7881549	long	Yes
Takifugu_flavidus	SRR7881546	long	Yes
Takifugu_flavidus	SRR7881547	long	Yes
Anoplopoma_fimbria	SRR21199007	short	Yes
Anoplopoma_fimbria	SRR21199008	long	Yes
Anoplopoma_fimbria	SRR21199004	long	Yes
Borostomias_antarcticus	ERR10936409	short	Yes
Borostomias_antarcticus	ERR10936410	short	Yes
Borostomias_antarcticus	ERR10934070	long	Yes
Borostomias_antarcticus	ERR10934071	long	Yes
Borostomias_antarcticus	ERR10934069	long	Yes
